1282596	Wobkent Rayoni	40	3	A	ADM3	UZ	Europe/Zaporozhye
788821	Llapceve	4250472	2058444	P	PPL	XK	Europe/Belgrade
788822	Llabjan	4265611	2039417	P	PPL	XK	Europe/Belgrade
788823	Labljane	4256717	2134396	P	PPL	XK	Europe/Belgrade
788825	Lab	4275515	2101773	H	STM	XK	Europe/Belgrade
788833	Kutlloc	4291778	2091861	P	PPL	XK	Europe/Belgrade
788839	Kushnin	4227556	205375	P	PPL	XK	Europe/Belgrade
788845	Kushavec	4234167	2047472	P	PPL	XK	Europe/Belgrade
788847	Kusar	4232889	2044306	P	PPL	XK	Europe/Belgrade
788853	Kurkulica	4231278	2107278	T	MT	XK	Europe/Belgrade
788856	Kurilovo	429153	2103533	P	PPLL	XK	Europe/Belgrade
788858	Kurilo	4285472	2063167	T	PK	XK	Europe/Belgrade
788907	Kukulan	4204944	2065583	P	PPL	XK	Europe/Belgrade
788910	Kuk	4209972	2071472	P	PPL	XK	Europe/Belgrade
788920	Kukavica	4262667	2134833	P	PPL	XK	Europe/Belgrade
788923	Kukavica	4305861	207175	T	MT	XK	Europe/Belgrade
788926	Kujavca Potok	4268083	2051361	H	STM	XK	Europe/Belgrade
788931	Kuqishte	426975	2008167	P	PPLL	XK	Europe/Belgrade
788934	Kucica	4280778	2077306	P	PPL	XK	Europe/Belgrade
788958	Krusheva e Madhe	4265806	2052472	P	PPLL	XK	Europe/Belgrade
788959	Krushevo	4263944	2056389	P	PPL	XK	Europe/Belgrade
788960	Krushevo	4197889	2063889	P	PPL	XK	Europe/Belgrade
788969	Krusevica	4279611	2136333	P	PPLL	XK	Europe/Belgrade
788976	Kryshec	4272139	2080889	P	PPL	XK	Europe/Belgrade
788977	Kryshec	4257722	2035278	P	PPLL	XK	Europe/Belgrade
788982	Krusheica	4315083	2082472	P	PPL	XK	Europe/Belgrade
788992	Krtinjak	4309806	2114583	T	PK	XK	Europe/Belgrade
788995	Kerstec	426225	2043694	P	PPL	XK	Europe/Belgrade
789005	Krstac	4206972	2060222	P	PPLL	XK	Europe/Belgrade
789013	Krpimej	4299192	2114285	P	PPL	XK	Europe/Belgrade
789017	Krnjina	4276083	206125	P	PPLL	XK	Europe/Belgrade
789018	Krnjince	4265111	2060861	P	PPL	XK	Europe/Belgrade
789024	Krljigate	4283194	2073278	P	PPL	XK	Europe/Belgrade
789034	Krivenik	4211361	2127361	P	PPL	XK	Europe/Belgrade
789040	Kriva Reka	425075	2163139	H	STM	XK	Europe/Belgrade
789054	Kriljevo	426775	2146222	P	PPL	XK	Europe/Belgrade
789062	Krena	4236639	2042556	H	STM	XK	Europe/Belgrade
789067	Kremenatska Reka	4264139	2152861	H	STM	XK	Europe/Belgrade
789068	Kremenata	4267694	2152139	P	PPLL	XK	Europe/Belgrade
789081	Kravasarija	4243611	2077861	P	PPL	XK	Europe/Belgrade
789092	Kastra	4258861	2062583	T	HLL	XK	Europe/Belgrade
789098	Krasmirovac	42725	2092806	P	PPL	XK	Europe/Belgrade
789099	Krasaliq	4274389	2090417	P	PPL	XK	Europe/Belgrade
789103	Kramovik	4248194	2052278	P	PPL	XK	Europe/Belgrade
789111	Kralan	4252333	2051333	P	PPLL	XK	Europe/Belgrade
789115	Kranidel	4260583	2170639	P	PPLL	XK	Europe/Belgrade
789117	Krajmirovce	4248306	2093278	P	PPLL	XK	Europe/Belgrade
789118	Krajkovo	4259639	2085361	P	PPL	XK	Europe/Belgrade
789121	Krajk	4228222	2066083	P	PPL	XK	Europe/Belgrade
789123	Kraishte	4249389	2104778	P	PPL	XK	Europe/Belgrade
789129	Kepuz	4254417	2054056	P	PPL	XK	Europe/Belgrade
789131	Kaznik	4247306	2059389	P	PPL	XK	Europe/Belgrade
789132	Koznik	4248333	2059778	T	PK	XK	Europe/Belgrade
789135	Koznica	4263972	2137139	T	MTS	XK	Europe/Belgrade
789136	Kozmatica	4298861	2086944	T	MT	XK	Europe/Belgrade
789155	Kozica	42.73	2090583	P	PPL	XK	Europe/Belgrade
789161	Kozarevo	4295944	20735	P	PPL	XK	Europe/Belgrade
789163	Kovrace (Krasniqaj)	4274833	2050417	P	PPL	XK	Europe/Belgrade
789179	Kovacica	4294688	2103888	P	PPL	XK	Europe/Belgrade
789185	Kovacec	4224194	2123278	P	PPL	XK	Europe/Belgrade
789191	Kotradiq	4256139	2040139	P	PPL	XK	Europe/Belgrade
789192	Kotore	4280111	2074306	P	PPL	XK	Europe/Belgrade
789193	Kotlina	4217611	2123083	P	PPLL	XK	Europe/Belgrade
789194	Kosutovo	4300861	2084361	P	PPL	XK	Europe/Belgrade
789195	Kosutovo	4287444	2078611	P	PPL	XK	Europe/Belgrade
789197	Koshutan	4273889	2010111	P	PPLL	XK	Europe/Belgrade
789199	Kosuriq	4257028	2046472	P	PPL	XK	Europe/Belgrade
789207	Kostrce	4241333	207925	P	PPL	XK	Europe/Belgrade
789208	Kostrc	4278278	2068861	P	PPLL	XK	Europe/Belgrade
789212	Kostinpotok	4313278	2081333	P	PPL	XK	Europe/Belgrade
789218	Kostanjevo	4229556	2107278	P	PPLL	XK	Europe/Belgrade
789220	Kostadinski Potok	4260528	2163722	H	STM	XK	Europe/Belgrade
789223	Kostadince	4263028	2161111	P	PPL	XK	Europe/Belgrade
789224	Zeleznicka Stanica Kosovska Mitrovica	4289167	2087611	S	RSTN	XK	Europe/Belgrade
789225	Mitrovice	4288333	2086667	P	PPLA	XK	Europe/Belgrade
789226	Kamenica	2	2161667	A	ADM2	XK	Europe/Belgrade
789227	Kamenica	4257806	2158028	P	PPLA2	XK	Europe/Belgrade
789228	Kosovo Polje	4266394	2109611	P	PPLA2	XK	Europe/Belgrade
789229	Kosovo Polje	4266667	2108333	T	PLN	XK	Europe/Belgrade
789233	Kosavce	4208972	2070222	P	PPL	XK	Europe/Belgrade
789240	Kosmac	4260694	2083722	T	MT	XK	Europe/Belgrade
789242	Kosin	4241417	2113083	P	PPL	XK	Europe/Belgrade
789251	Koshare	4245444	2023833	P	PPL	XK	Europe/Belgrade
789252	Koshare	4242167	2109333	P	PPL	XK	Europe/Belgrade
789265	Korizi	4266139	2096694	T	RDGE	XK	Europe/Belgrade
789271	Mali i Koritnikut	4208333	2056667	T	MT	XK	Europe/Belgrade
789274	Korisa	4225861	2079694	P	PPL	XK	Europe/Belgrade
789275	Korilje	4291333	2083472	P	PPL	XK	Europe/Belgrade
789276	Koretiste	4248833	2144167	P	PPL	XK	Europe/Belgrade
789277	Koretin	4255694	2159306	P	PPL	XK	Europe/Belgrade
789278	Korenice	4237194	203675	P	PPL	XK	Europe/Belgrade
789280	Korbuliq	4223611	2133611	P	PPL	XK	Europe/Belgrade
789296	Koprivnica	4261111	2162722	P	PPL	XK	Europe/Belgrade
789297	Koprivnica	4313306	2093333	T	MT	XK	Europe/Belgrade
789298	Kopriva	4285417	2079194	P	PPL	XK	Europe/Belgrade
789302	Koporice	4314167	2086528	P	PPLL	XK	Europe/Belgrade
789306	Kopiljaca	4223154	2143355	T	MTS	XK	Europe/Skopje
789321	Konjuh	4253972	1	P	PPL	XK	Europe/Belgrade
789324	Konjsko	4248583	2113944	P	PPL	XK	Europe/Belgrade
789327	Konjavica	4248472	2162583	T	HLL	XK	Europe/Belgrade
789338	Kita Mal	4244444	2154361	T	HLL	XK	Europe/Belgrade
789349	Komorane	4257889	2090389	P	PPL	XK	Europe/Belgrade
789359	Kolloleq	4258667	2164056	P	PPL	XK	Europe/Belgrade
789360	Kolo	4277139	2093194	P	PPL	XK	Europe/Belgrade
789361	Kolicska Cuka	4278333	2128333	T	PK	XK	Europe/Belgrade
789364	Koliq	4277333	2128611	P	PPL	XK	Europe/Belgrade
789368	Kolarnica	4225333	2151333	T	RDGE	XK	Europe/Skopje
789375	Kojus	4222722	2061056	P	PPL	XK	Europe/Belgrade
789376	Kojlovica	4268612	2119863	P	PPL	XK	Europe/Belgrade
789383	Kodra Planina	4257917	2079528	T	MT	XK	Europe/Belgrade
789384	Kodralija	4253028	2033889	P	PPL	XK	Europe/Belgrade
789385	Kodralija	4246639	2046972	P	PPL	XK	Europe/Belgrade
789386	Zmijarnik	4277056	2064528	T	HLL	XK	Europe/Belgrade
789409	Kobilja Glava	4294861	2070222	P	PPL	XK	Europe/Belgrade
789412	Kobilica	4209609	208837	T	MT	XK	Europe/Skopje
789413	Vrtop	4209861	2084333	T	PK	XK	Europe/Belgrade
789426	Kmetoc	4249194	2152778	P	PPL	XK	Europe/Belgrade
789427	Klokot	4237139	2137444	P	PPLA2	XK	Europe/Belgrade
789432	Klobukar	4257944	2147222	P	PPLL	XK	Europe/Belgrade
789439	Stanisorka	4246667	2148333	H	STM	XK	Europe/Belgrade
789446	Klisura	4249028	2122944	H	STM	XK	Europe/Belgrade
789448	Klinafc	4263472	1	P	PPL	XK	Europe/Belgrade
789451	Kliqine	4262389	2046083	P	PPL	XK	Europe/Belgrade
789453	Komuna e Klines	4258333	1	A	ADM2	XK	Europe/Belgrade
789454	Klina	4261111	2056944	H	STM	XK	Europe/Belgrade
789455	Klina	4262167	2057778	P	PPLA2	XK	Europe/Belgrade
789472	Klecka	4249278	2086083	P	PPLL	XK	Europe/Belgrade
789489	Kladernica	4274444	2069472	P	PPLL	XK	Europe/Belgrade
789493	Kitka	4266556	1	T	MT	XK	Europe/Belgrade
789501	Kishnapole	4246167	2130167	P	PPL	XK	Europe/Belgrade
789502	Kisna Reka	4255306	2089083	P	PPL	XK	Europe/Belgrade
789511	Kisela Banja	4281944	2115806	P	PPLL	XK	Europe/Belgrade
789519	Kijevski Potok	4252722	2064861	H	STM	XK	Europe/Belgrade
789521	Kijevo	4256583	2071583	P	PPL	XK	Europe/Belgrade
789522	Kijevcice	4311889	2084139	P	PPLL	XK	Europe/Belgrade
789550	Kasica	4270611	2040444	P	PPL	XK	Europe/Belgrade
789558	Korenik	4280083	2036944	T	MT	XK	Europe/Belgrade
789568	Karasingerg	4226861	2060806	P	PPLL	XK	Europe/Belgrade
789581	Karadag	4239556	2146361	H	STM	XK	Europe/Belgrade
789587	Kapra	4210278	2068889	P	PPL	XK	Europe/Belgrade
789616	Kepenica	4237333	2032111	H	STM	XK	Europe/Belgrade
789620	Kamenica	4267667	2088361	T	RDGE	XK	Europe/Belgrade
789627	Kamenica	4301722	2081972	P	PPL	XK	Europe/Belgrade
789637	Kamena Glava	4234222	2121583	P	PPLL	XK	Europe/Belgrade
789661	Kaljatica	4281667	2138639	P	PPL	XK	Europe/Belgrade
789671	Kalicani	4275833	2035361	P	PPL	XK	Europe/Belgrade
789697	Kajkovo	4313333	2079639	P	PPL	XK	Europe/Belgrade
789701	Gures	4237944	2098611	T	MT	XK	Europe/Belgrade
789710	Kacina Glava	4201806	2071444	T	MT	XK	Europe/Belgrade
789711	Kacikol	4273306	2131417	P	PPLL	XK	Europe/Belgrade
789712	Kacibeg	4283472	2120583	P	PPL	XK	Europe/Belgrade
789720	Komuna e Kacanikut	2	1	A	ADM2	XK	Europe/Belgrade
789721	Kacanik	4223194	2125944	P	PPLA2	XK	Europe/Belgrade
789722	Kacanicka Klisura	4219667	2126389	T	GRGE	XK	Europe/Belgrade
789723	Kacandolska Reka	4278607	2115147	H	STM	XK	Europe/Belgrade
789726	Kabash i Hasit	4227167	2055417	P	PPL	XK	Europe/Belgrade
789727	Kabash	4230694	2135667	P	PPL	XK	Europe/Belgrade
789728	Kabash	2	2083333	P	PPLL	XK	Europe/Belgrade
789739	Junik	4247583	2027722	P	PPLA2	XK	Europe/Belgrade
789740	Junake	4300639	2067611	P	PPL	XK	Europe/Belgrade
789747	Joviq	4247444	2070222	P	PPL	XK	Europe/Belgrade
789757	Joshevik	4296722	2080972	P	PPL	XK	Europe/Belgrade
789761	Josanicka Reka	4308444	2080667	H	STM	XK	Europe/Belgrade
789769	Ioshanica	4307583	2077167	P	PPL	XK	Europe/Belgrade
789770	Jashanica	4272917	2003917	P	PPLL	XK	Europe/Belgrade
789771	Josanica	4266667	2064722	P	PPLL	XK	Europe/Belgrade
789777	Jezerska Planina	4230361	2102556	T	MTS	XK	Europe/Belgrade
789782	Jezerce	423675	2102972	P	PPLL	XK	Europe/Belgrade
789785	Jeskovo	4216194	2070278	P	PPL	XK	Europe/Belgrade
789788	Jerlitalinovc	4238972	2114972	P	PPL	XK	Europe/Belgrade
789789	Jerli Sadovina	4232389	2129528	P	PPL	XK	Europe/Belgrade
789790	Prelez i Jerlive	4241306	2116111	P	PPLL	XK	Europe/Belgrade
789796	Jelovarnik	4220917	2106083	T	SLP	XK	Europe/Belgrade
789800	Jelloc	4265083	2066917	P	PPL	XK	Europe/Belgrade
789804	Jelenjak	4265111	2049444	T	RDGE	XK	Europe/Belgrade
789819	Jelakce	4313611	209025	P	PPL	XK	Europe/Belgrade
789824	Jaglenica	4228083	2071722	H	STM	XK	Europe/Belgrade
789829	Jazince	4221639	2098861	P	PPL	XK	Europe/Belgrade
789844	Javor	4247333	2088139	P	PPLL	XK	Europe/Belgrade
789858	Jasiq	424925	2025167	P	PPL	XK	Europe/Belgrade
789862	Jasenovik	4260163	2145957	P	PPLL	XK	Europe/Belgrade
789881	Donje Jarinje	432075	2071667	P	PPL	XK	Europe/Belgrade
789882	Jerik	4321333	20735	T	MT	XK	Europe/Belgrade
789895	Janjevo	4257389	2124889	P	PPL	XK	Europe/Belgrade
789898	Janciste	4242972	2073083	P	PPL	XK	Europe/Belgrade
789920	Jahoc	4239028	2039444	P	PPL	XK	Europe/Belgrade
789924	Jagoda	4263694	2053417	P	PPL	XK	Europe/Belgrade
789927	Jagnjenica	4292222	2075111	P	PPL	XK	Europe/Belgrade
789937	Jabuka	429025	2066028	P	PPLL	XK	Europe/Belgrade
789949	Jablanica	4261778	2046944	P	PPL	XK	Europe/Belgrade
789951	Jablanica	4217083	2076806	P	PPL	XK	Europe/Belgrade
789955	Izvori	43035	2068639	P	PPL	XK	Europe/Belgrade
789960	Izvor	4260529	2137516	P	PPLL	XK	Europe/Belgrade
789969	Izmornik	4245083	215675	L	RGN	XK	Europe/Belgrade
789975	Izbice	427325	1	P	PPLL	XK	Europe/Belgrade
789978	Izance	4228556	2110361	P	PPLL	XK	Europe/Belgrade
789993	Ivaja	4219444	2123278	P	PPL	XK	Europe/Belgrade
789995	Komuna e Istogut	4276667	2048333	A	ADM2	XK	Europe/Belgrade
789996	Istok	4278083	204875	P	PPLA2	XK	Europe/Belgrade
790000	Istok	4269083	2049861	H	STM	XK	Europe/Belgrade
790002	Isniq	425575	2030278	P	PPL	XK	Europe/Belgrade
790005	Donje Isevo	4322472	2075389	P	PPL	XK	Europe/Belgrade
790017	Inatovce	4238694	2157611	P	PPLL	XK	Europe/Belgrade
790032	Iglarevo	4259167	2067528	P	PPL	XK	Europe/Belgrade
790039	Huna Kumbalave	4293359	2110007	T	SLP	XK	Europe/Belgrade
790044	Hulaj	4253583	2026333	P	PPL	XK	Europe/Belgrade
790046	Hrtica	4287361	2129361	P	PPLL	XK	Europe/Belgrade
790052	Hoca e qytetit	4217472	2069139	P	PPL	XK	Europe/Belgrade
790055	Has	4230278	2053556	L	RGN	XK	Europe/Belgrade
790057	Hamidi	4270611	2102667	P	PPL	XK	Europe/Belgrade
790065	Haxhaj	4270972	2004417	P	PPLL	XK	Europe/Belgrade
790076	Guvno Selo	2	2116306	P	PPL	XK	Europe/Belgrade
790077	Guvniste	4323111	2078722	P	PPL	XK	Europe/Belgrade
790079	Gushica	4230806	213025	P	PPL	XK	Europe/Belgrade
790082	Guriste	4276028	2138861	T	PK	XK	Europe/Belgrade
790090	Guncat	424625	2085222	P	PPLL	XK	Europe/Belgrade
790091	Kodra Gumur	42.82	2107444	T	RDGE	XK	Europe/Belgrade
790092	Gumniste	4291503	2100477	P	PPLL	XK	Europe/Belgrade
790093	Gumniste	4246139	2137722	P	PPLL	XK	Europe/Belgrade
790097	Guli	4314806	2071889	P	PPL	XK	Europe/Belgrade
790138	Grncar	4232722	2141639	P	PPL	XK	Europe/Belgrade
790139	Shpatina	4221889	2077222	P	PPL	XK	Europe/Belgrade
790141	Grmovo	2	2131528	P	PPL	XK	Europe/Belgrade
790148	Zeleznicka Stanica Grlica	4231167	2121167	S	RSTN	XK	Europe/Belgrade
790152	Grkaje	4305806	2076083	P	PPLL	XK	Europe/Belgrade
790153	Grizime	4260528	2157639	P	PPL	XK	Europe/Belgrade
790155	Grizhan	4302278	2070639	P	PPL	XK	Europe/Belgrade
790159	Grgoc	4250972	20455	P	PPL	XK	Europe/Belgrade
790166	Grejkovce	4228417	2083417	P	PPL	XK	Europe/Belgrade
790167	Greicec	4241333	2093417	P	PPLL	XK	Europe/Belgrade
790169	Grebno	4231833	2115722	P	PPLL	XK	Europe/Belgrade
790170	Grebnkik	4258306	2058972	P	PPL	XK	Europe/Belgrade
790171	Grebnicka Planina	4256417	2059472	T	MT	XK	Europe/Belgrade
790177	Grdovac	4282194	2121917	P	PPL	XK	Europe/Belgrade
790182	Gerqine	4229639	2048444	P	PPL	XK	Europe/Belgrade
790187	Grbes	4265917	21375	T	MT	XK	Europe/Belgrade
790190	Grazhdanik	4221528	2066139	P	PPLL	XK	Europe/Belgrade
790191	Grastica	42705	2125889	P	PPLL	XK	Europe/Belgrade
790198	Granican	4312111	2086722	P	PPL	XK	Europe/Belgrade
790201	Gramaqel	4248222	2036361	P	PPL	XK	Europe/Belgrade
790234	Gradiste	4226667	2128333	T	HLL	XK	Europe/Belgrade
790240	Gradica	4270583	2093889	P	PPL	XK	Europe/Belgrade
790241	Gradevci	4282722	2081472	P	PPL	XK	Europe/Belgrade
790245	Gragjenik	4269583	2149694	P	PPL	XK	Europe/Belgrade
790264	Gracanka	4261528	2106861	H	STM	XK	Europe/Belgrade
790265	Gracanica	4260111	2119583	P	PPL	XK	Europe/Belgrade
790281	Grabovac	4293361	2084028	P	PPL	XK	Europe/Belgrade
790282	Graboc	4262917	2035139	P	PPL	XK	Europe/Belgrade
790283	Grabanica	4258694	2053556	P	PPL	XK	Europe/Belgrade
790284	Grabc	4267806	2061861	P	PPL	XK	Europe/Belgrade
790291	Gotovusa	4224861	2107278	P	PPL	XK	Europe/Belgrade
790297	Gospoda	4263222	2098528	T	HLL	XK	Europe/Belgrade
790303	Gorozhup	4217639	2054694	P	PPL	XK	Europe/Belgrade
790345	Gornji Zabelj	4258083	2092111	P	PPL	XK	Europe/Belgrade
790349	Gornji Svracak	4282027	2101833	P	PPL	XK	Europe/Belgrade
790350	Suvi Do	4288667	2084833	P	PPL	XK	Europe/Belgrade
790352	Gornji Strmac	4287417	2072361	P	PPL	XK	Europe/Belgrade
790354	Strellc i Eperm	4257843	2029398	P	PPL	XK	Europe/Belgrade
790363	Gornji Obilic	4272111	2069639	P	PPLL	XK	Europe/Belgrade
790369	Gornji Makres	4256719	2144519	P	PPL	XK	Europe/Belgrade
790371	Livoc i Eperm	4245694	2143111	P	PPL	XK	Europe/Belgrade
790374	Gornji Lab	4306639	2108389	L	RGN	XK	Europe/Belgrade
790376	Gornji Krnjin	4312028	2078111	P	PPLL	XK	Europe/Belgrade
790382	Gornji Jasenovik	4292194	2065139	P	PPL	XK	Europe/Belgrade
790383	Gornji Grabovac	4266056	20985	P	PPL	XK	Europe/Belgrade
790391	Carrabregu i Eperm	4252694	2029222	P	PPL	XK	Europe/Belgrade
790402	Zhabari i Eperm	4286389	2083167	P	PPL	XK	Europe/Belgrade
790405	Gornje Vinarce	4289361	2079889	P	PPL	XK	Europe/Belgrade
790415	Gornje Stanovce	4275747	2104396	P	PPLL	XK	Europe/Belgrade
790416	Gornje Slakovce	4244778	2132833	P	PPL	XK	Europe/Belgrade
790418	Gornje Selo	4217778	2093083	P	PPL	XK	Europe/Belgrade
790420	Rashan	4290417	2094222	P	PPLL	XK	Europe/Belgrade
790421	Gornje Prekaze	4277972	2082972	P	PPL	XK	Europe/Belgrade
790422	Patacan i Eperm	4240861	2061972	P	PPL	XK	Europe/Belgrade
790424	Gornje Novo Selo	4246056	2039056	P	PPL	XK	Europe/Belgrade
790425	Gornje Nerodimlje	4237028	2107861	P	PPL	XK	Europe/Belgrade
790427	Gornje Ljupce	4285417	2109444	P	PPL	XK	Europe/Belgrade
790428	Gornje Ljubinje	4214611	2086139	P	PPL	XK	Europe/Belgrade
790430	Gornje Kusce	4249667	2148222	P	PPL	XK	Europe/Belgrade
790433	Gornje Korminjane	4250278	2161389	P	PPL	XK	Europe/Belgrade
790437	Karaceve e Eperme	4257667	2173028	P	PPL	XK	Europe/Belgrade
790441	Gornje Godance	4246778	2103639	P	PPL	XK	Europe/Belgrade
790444	Gornje Gadimlje	4249111	2122278	P	PPL	XK	Europe/Belgrade
790446	Gornje Dobrevo	4259972	1	P	PPL	XK	Europe/Belgrade
790459	Gornja Sudimlja	4284778	2103167	P	PPL	XK	Europe/Belgrade
790461	Stubla	423225	2146389	P	PPL	XK	Europe/Belgrade
790463	Gornja Srbica	4227944	2071861	P	PPL	XK	Europe/Belgrade
790466	Gornja Slatina	4236056	2129639	P	PPL	XK	Europe/Belgrade
790467	Shipashnica i Ulte	4259722	2166444	P	PPL	XK	Europe/Belgrade
790476	Gornja Pakastica	4299812	2111798	P	PPL	XK	Europe/Belgrade
790483	Gornja Morava	4241667	2158333	L	RGN	XK	Europe/Belgrade
790486	Lluka e Eperme	42545	2030778	P	PPL	XK	Europe/Belgrade
790497	Gornja Koretica	4260444	2093389	P	PPL	XK	Europe/Belgrade
790499	Gornja Klina	4279222	2078333	P	PPL	XK	Europe/Belgrade
790504	Gornja Gusterica	4255111	2120861	P	PPL	XK	Europe/Belgrade
790505	Gornja Grlica	4227611	2116556	P	PPL	XK	Europe/Belgrade
790508	Fusha	42555	2094806	P	PPL	XK	Europe/Belgrade
790509	Gornja Dubnica	4298662	2120924	P	PPLL	XK	Europe/Belgrade
790510	Gornja Dubnica	4281043	2109795	P	PPL	XK	Europe/Belgrade
790517	Gornja Budriga	42375	2141917	P	PPL	XK	Europe/Belgrade
790518	Gornja Brnjica	4271778	211589	P	PPLL	XK	Europe/Belgrade
790520	Gornja Bitinja	422725	2102972	P	PPL	XK	Europe/Belgrade
790540	Guriq	4243222	2075417	P	PPL	XK	Europe/Belgrade
790546	Gorazhdec	4264056	2036972	P	PPL	XK	Europe/Belgrade
790547	Gorance	4214139	2123333	P	PPL	XK	Europe/Belgrade
790550	Gora	4208333	1	L	RGN	XK	Europe/Belgrade
790554	Golubovac	2	2078333	P	PPL	XK	Europe/Belgrade
790593	Galic	4308361	1	T	RDGE	XK	Europe/Belgrade
790596	Goles Banjski	4283167	2067389	T	MT	XK	Europe/Belgrade
790601	Goles	4256889	2097694	T	MT	XK	Europe/Belgrade
790602	Goles	42355	2143389	T	MT	XK	Europe/Belgrade
790611	Golemo Brdo	427125	2140694	T	PK	XK	Europe/Belgrade
790625	Golem Argat	4191667	1	T	MT	XK	Europe/Belgrade
790629	Golema Reka	4236278	210525	H	STM	XK	Europe/Belgrade
790631	Golema Reka	4236667	2136667	H	STM	XK	Europe/Belgrade
790656	Gojbulja	4284889	2099167	P	PPL	XK	Europe/Belgrade
790657	Gogolloc	4258917	2154306	P	PPL	XK	Europe/Belgrade
790664	Godishnjak	4283827	2116146	P	PPL	XK	Europe/Belgrade
790665	Goden	4229306	2044361	P	PPL	XK	Europe/Belgrade
790666	Godance	42.68	2093667	P	PPL	XK	Europe/Belgrade
790673	Komuna e Gjilanit	4246667	1	A	ADM2	XK	Europe/Belgrade
790674	Gjilan	4246045	2146986	P	PPLA	XK	Europe/Belgrade
790679	Gmince	426825	2158833	P	PPLL	XK	Europe/Belgrade
790693	Glogovica	4271667	1	P	PPLL	XK	Europe/Belgrade
790695	Glogovce	4250528	2114583	P	PPL	XK	Europe/Belgrade
790696	Glogovce	4248528	2159333	P	PPL	XK	Europe/Belgrade
790697	Komuna e Drenasit	2	2086667	A	ADM2	XK	Europe/Belgrade
790701	Glogovac	4262833	2089389	P	PPLA2	XK	Europe/Belgrade
790704	Gllogjan	4250722	2036278	P	PPL	XK	Europe/Belgrade
790708	Globocka Planina	4191306	2062167	T	MT	XK	Europe/Belgrade
790710	Globocica	4217111	2118222	P	PPLL	XK	Europe/Belgrade
790711	Gllabonica	4200472	2062694	P	PPL	XK	Europe/Belgrade
790714	Globare	4264583	2087056	P	PPL	XK	Europe/Belgrade
790717	Glibar	4262306	215625	T	PK	XK	Europe/Belgrade
790719	Glavotina	4272375	2100507	P	PPL	XK	Europe/Belgrade
790721	Glavnik	428713	2118537	P	PPL	XK	Europe/Belgrade
790723	Glavicica	4263889	2042444	P	PPL	XK	Europe/Belgrade
790725	Glavica	4248944	2119917	P	PPL	XK	Europe/Belgrade
790729	Glavej	4298278	2098833	T	MT	XK	Europe/Belgrade
790730	Glave	4304833	2085778	T	PK	XK	Europe/Belgrade
790733	Maja Glava	424375	2021361	T	MT	XK	Europe/Belgrade
790737	Strazatcka Glama	425183	2142983	T	RDGE	XK	Europe/Belgrade
790738	Gladno Selo	4267028	2091694	P	PPL	XK	Europe/Belgrade
790739	Makres	4268917	2091778	T	RDGE	XK	Europe/Belgrade
790740	Gladni Potok	4265194	2092833	H	STM	XK	Europe/Belgrade
790742	Geljance	4229639	2078611	P	PPL	XK	Europe/Belgrade
790748	Gemitas	419075	2068083	T	MT	XK	Europe/Belgrade
790750	Gegje	4236444	20545	P	PPL	XK	Europe/Belgrade
790752	Gazivode	429375	2067111	P	PPL	XK	Europe/Belgrade
790758	Gatnje	4229917	2115361	P	PPL	XK	Europe/Belgrade
790784	Galica	4278361	2086444	P	PPL	XK	Europe/Belgrade
790788	Gajre	4220056	2125139	P	PPL	XK	Europe/Belgrade
790796	Gadish	4247389	2132944	P	PPL	XK	Europe/Belgrade
790804	Gabrica	4228389	2117528	P	PPL	XK	Europe/Belgrade
790815	Firiceja	4263833	2157278	P	PPLL	XK	Europe/Belgrade
790816	Firaja	4246806	2037333	P	PPL	XK	Europe/Belgrade
790817	Firaja	2	2109833	P	PPL	XK	Europe/Belgrade
790829	Erenik	4236722	2053056	H	STM	XK	Europe/Belgrade
790831	Hereq	4246444	203575	P	PPL	XK	Europe/Belgrade
790834	Ence	4259013	2104729	P	PPL	XK	Europe/Belgrade
790840	Eleza	4228278	2118361	P	PPL	XK	Europe/Belgrade
790863	Dvoriste	4307083	2112722	P	PPL	XK	Europe/Belgrade
790874	Duz	4280333	212475	P	PPLL	XK	Europe/Belgrade
790882	Dusanovo	4223167	2071972	P	PPL	XK	Europe/Belgrade
790883	Dush	425325	2060139	P	PPL	XK	Europe/Belgrade
790888	Gjurkoc	4246861	2108944	P	PPL	XK	Europe/Belgrade
790889	Gjyrishec	4267667	2161028	P	PPLL	XK	Europe/Belgrade
790901	Gjurgjedell	4219472	2127667	P	PPLL	XK	Europe/Belgrade
790905	Gurrakoc	4272556	2047194	P	PPL	XK	Europe/Belgrade
790907	Dura	4228111	2117389	P	PPL	XK	Europe/Belgrade
790918	Dunjiste	4241389	2151194	T	HLL	XK	Europe/Belgrade
790923	Dunavo	4227361	2155889	P	PPLL	XK	Europe/Belgrade
790924	Dumosh	4285472	2121722	P	PPL	XK	Europe/Belgrade
790926	Dulje	4240917	2087278	P	PPLL	XK	Europe/Belgrade
790940	Dujak	4245611	2036972	P	PPL	XK	Europe/Belgrade
790943	Dugenjive	4259611	2050472	P	PPL	XK	Europe/Belgrade
790949	Dugi Del	4258556	2165194	T	RDGE	XK	Europe/Belgrade
790953	Duge Njive	4271444	2007972	P	PPL	XK	Europe/Belgrade
790970	Dubrava	4232306	2085139	P	PPL	XK	Europe/Belgrade
790971	Dubrava	4225472	2119667	P	PPLL	XK	Europe/Belgrade
790977	Dubova (Driloni)	4271194	2036972	P	PPLL	XK	Europe/Belgrade
